name,dept,area,count,adjustedcount,year
Adrian Perrig,ETH Zurich,asplos,1,0.2,2008
Adrian Perrig,ETH Zurich,ccs,1,0.33333,2000
Adrian Perrig,ETH Zurich,ccs,1,1,2001
Adrian Perrig,ETH Zurich,ccs,1,0.33333,2006
Adrian Perrig,ETH Zurich,ccs,1,0.25,2007
Adrian Perrig,ETH Zurich,ccs,1,0.5,2008
Adrian Perrig,ETH Zurich,ccs,1,0.33333,2011
Adrian Perrig,ETH Zurich,ccs,1,0.14286,2012
Adrian Perrig,ETH Zurich,ccs,1,0.16667,2013
Adrian Perrig,ETH Zurich,ccs,3,0.66667,2014
Adrian Perrig,ETH Zurich,ccs,1,0.2,2015
Adrian Perrig,ETH Zurich,eurosys,1,0.2,2008
Adrian Perrig,ETH Zurich,mobicom,1,0.2,2001
Adrian Perrig,ETH Zurich,mobicom,1,0.33333,2002
Adrian Perrig,ETH Zurich,mobicom,1,0.11111,2008
Adrian Perrig,ETH Zurich,mobicom,1,0.14286,2011
Adrian Perrig,ETH Zurich,mobicom,1,0.2,2013
Adrian Perrig,ETH Zurich,mobisys,1,0.1,2009
Adrian Perrig,ETH Zurich,ndss,1,0.5,2000
Adrian Perrig,ETH Zurich,ndss,1,0.25,2001
Adrian Perrig,ETH Zurich,ndss,1,0.33333,2003
Adrian Perrig,ETH Zurich,ndss,1,0.2,2004
Adrian Perrig,ETH Zurich,ndss,1,0.33333,2009
Adrian Perrig,ETH Zurich,ndss,1,0.16667,2012
Adrian Perrig,ETH Zurich,ndss,1,0.125,2016
Adrian Perrig,ETH Zurich,ndss,1,0.25,2020
Adrian Perrig,ETH Zurich,ndss,1,0.25,2021
Adrian Perrig,ETH Zurich,oakland,2,0.58333,2000
Adrian Perrig,ETH Zurich,oakland,1,0.33333,2001
Adrian Perrig,ETH Zurich,oakland,4,1.25,2005
Adrian Perrig,ETH Zurich,oakland,2,0.4,2007
Adrian Perrig,ETH Zurich,oakland,1,0.2,2009
Adrian Perrig,ETH Zurich,oakland,3,0.97619,2010
Adrian Perrig,ETH Zurich,oakland,1,0.16667,2011
Adrian Perrig,ETH Zurich,oakland,2,0.47619,2012
Adrian Perrig,ETH Zurich,oakland,1,0.25,2016
Adrian Perrig,ETH Zurich,pets,1,0.5,2017
Adrian Perrig,ETH Zurich,pets,1,0.33333,2021
Adrian Perrig,ETH Zurich,sensys,1,0.33333,2003
Adrian Perrig,ETH Zurich,sensys,1,0.25,2007
Adrian Perrig,ETH Zurich,sigcomm,1,0.33333,2004
Adrian Perrig,ETH Zurich,sigcomm,1,0.25,2006
Adrian Perrig,ETH Zurich,sigcomm,1,0.16667,2007
Adrian Perrig,ETH Zurich,sigcomm,1,0.16667,2014
Adrian Perrig,ETH Zurich,sigmetrics,1,0.25,2019
Adrian Perrig,ETH Zurich,sosp,1,0.16667,2005
Adrian Perrig,ETH Zurich,sosp,1,0.25,2007
Adrian Perrig,ETH Zurich,usenixatc,1,0.16667,2003
Adrian Perrig,ETH Zurich,usenixatc,1,0.33333,2006
Adrian Perrig,ETH Zurich,usenixatc,1,0.33333,2008
Adrian Perrig,ETH Zurich,usenixatc,1,0.1,2012
Adrian Perrig,ETH Zurich,usenixatc,1,0.16667,2014
Adrian Perrig,ETH Zurich,usenixatc,1,0.25,2020
Adrian Perrig,ETH Zurich,usenixatc,1,0.25,2021
Adrian Perrig,ETH Zurich,usenixsec,1,0.5,2000
Adrian Perrig,ETH Zurich,usenixsec,1,0.2,2020
Adrian Perrig,ETH Zurich,usenixsec,1,0.25,2021
Adrian Perrig,ETH Zurich,www,1,0.2,2013
Andreas Krause 0001,ETH Zurich,aaai,1,0.25,2007
Andreas Krause 0001,ETH Zurich,aaai,1,0.5,2008
Andreas Krause 0001,ETH Zurich,aaai,1,0.2,2011
Andreas Krause 0001,ETH Zurich,aaai,3,0.53333,2015
Andreas Krause 0001,ETH Zurich,aaai,2,0.58333,2016
Andreas Krause 0001,ETH Zurich,aaai,2,0.58333,2017
Andreas Krause 0001,ETH Zurich,aaai,5,1.3667,2018
Andreas Krause 0001,ETH Zurich,aaai,2,0.5,2020
Andreas Krause 0001,ETH Zurich,aaai,1,0.2,2021
Andreas Krause 0001,ETH Zurich,iccv,1,0.33333,2015
Andreas Krause 0001,ETH Zurich,iccv,1,0.16667,2021
Andreas Krause 0001,ETH Zurich,icml,1,0.33333,2005
Andreas Krause 0001,ETH Zurich,icml,1,0.33333,2006
Andreas Krause 0001,ETH Zurich,icml,1,0.5,2007
Andreas Krause 0001,ETH Zurich,icml,3,1.25,2010
Andreas Krause 0001,ETH Zurich,icml,2,0.66667,2012
Andreas Krause 0001,ETH Zurich,icml,2,0.75,2013
